observation_date,IR3TIB01GBM156N
2009-03-01,1.83139
2009-04-01,1.53413
2009-05-01,1.35795
2009-06-01,1.24117
2009-07-01,1.00113
2009-08-01,0.77369
2009-09-01,0.60560
2009-10-01,0.57087
2009-11-01,0.60936
2009-12-01,0.60541
2010-01-01,0.61265
2010-02-01,0.63310
2010-03-01,0.64549
2010-04-01,0.65592
2010-05-01,0.69713
2010-06-01,0.72839
2010-07-01,0.73603
2010-08-01,0.73296
2010-09-01,0.72859
2010-10-01,0.73840
2010-11-01,0.73901
2010-12-01,0.74962
2011-01-01,0.76866
2011-02-01,0.79962
2011-03-01,0.80913
2011-04-01,0.82096
2011-05-01,0.82344
2011-06-01,0.82512
2011-07-01,0.82890
2011-08-01,0.85782
2011-09-01,0.91810
2011-10-01,0.96991
2011-11-01,1.01182
2011-12-01,1.06148
2012-01-01,1.08709
2012-02-01,1.07249
2012-03-01,1.03757
2012-04-01,1.01792
2012-05-01,1.00500
2012-06-01,0.94978
2012-07-01,0.81735
2012-08-01,0.70481
2012-09-01,0.64803
2012-10-01,0.54397
2012-11-01,0.52452
2012-12-01,0.51848
2013-01-01,0.51228
2013-02-01,0.50988
2013-03-01,0.50688
2013-04-01,0.50557
2013-05-01,0.50563
2013-06-01,0.50794
2013-07-01,0.50944
2013-08-01,0.51262
2013-09-01,0.51688
2013-10-01,0.51663
2013-11-01,0.52344
2013-12-01,0.52474
2014-01-01,0.52093
2014-02-01,0.52153
2014-03-01,0.52157
2014-04-01,0.52665
2014-05-01,0.52744
2014-06-01,0.54394
2014-07-01,0.55641
2014-08-01,0.56119
2014-09-01,0.56291
2014-10-01,0.55836
2014-11-01,0.55628
2014-12-01,0.55818
2015-01-01,0.56260
2015-02-01,0.56363
2015-03-01,0.56436
2015-04-01,0.56950
2015-05-01,0.56798
2015-06-01,0.57188
2015-07-01,0.58084
2015-08-01,0.58670
2015-09-01,0.58576
2015-10-01,0.58006
2015-11-01,0.57371
2015-12-01,0.58277
2016-01-01,0.58976
2016-02-01,0.59073
2016-03-01,0.58825
2016-04-01,0.58890
2016-05-01,0.58929
2016-06-01,0.57468
2016-07-01,0.51360
2016-08-01,0.40613
2016-09-01,0.37907
2016-10-01,0.39750
2016-11-01,0.39773
2016-12-01,0.37226
2017-01-01,0.36210
2017-02-01,0.35674
2017-03-01,0.34567
2017-04-01,0.33513
2017-05-01,0.31081
2017-06-01,0.29442
2017-07-01,0.29310
2017-08-01,0.28119
2017-09-01,0.30911
2017-10-01,0.38187
2017-11-01,0.51857
2017-12-01,0.51871
2018-01-01,0.52250
2018-02-01,0.54683
2018-03-01,0.62842
2018-04-01,0.75629
2018-05-01,0.64355
2018-06-01,0.63868
2018-07-01,0.74619
2018-08-01,0.80519
2018-09-01,0.80093
2018-10-01,0.80618
2018-11-01,0.87483
2018-12-01,0.90444
2019-01-01,0.91822
2019-02-01,0.87598
2019-03-01,0.84000
2019-04-01,0.82000
2019-05-01,0.80000
2019-06-01,0.78000
2019-07-01,0.77000
2019-08-01,0.76000
2019-09-01,0.77000
2019-10-01,0.78000
2019-11-01,0.79000
2019-12-01,0.79000
2020-01-01,0.74000
2020-02-01,0.75000
2020-03-01,0.53000
2020-04-01,0.65000
2020-05-01,0.33000
2020-06-01,0.19000
2020-07-01,0.10000
2020-08-01,0.07000
2020-09-01,0.06000
2020-10-01,0.05000
2020-11-01,0.04000
2020-12-01,0.03000
2021-01-01,0.03000
2021-02-01,0.05000
2021-03-01,0.08000
2021-04-01,0.09000
2021-05-01,0.08000
2021-06-01,0.08000
2021-07-01,0.08000
2021-08-01,0.07000
2021-09-01,0.07000
2021-10-01,0.16000
2021-11-01,0.13000
2021-12-01,0.16000
2022-01-01,0.53000
2022-02-01,0.81000
2022-03-01,0.99000
2022-04-01,1.13000
2022-05-01,1.31000
2022-06-01,1.57000
2022-07-01,1.84000
2022-08-01,2.23000
2022-09-01,2.91000
2022-10-01,3.39000
2022-11-01,3.52000
2022-12-01,3.78000
2023-01-01,4.01000
2023-02-01,4.21000
2023-03-01,4.33000
2023-04-01,4.52000
2023-05-01,4.73000
2023-06-01,5.09000
2023-07-01,5.49000
2023-08-01,5.53000
2023-09-01,5.52000
2023-10-01,5.40000
2023-11-01,5.36000
2023-12-01,5.22000
2024-01-01,5.20000
2024-02-01,5.21000
2024-03-01,5.20000
2024-04-01,5.18000
2024-05-01,5.16000
2024-06-01,5.16000
2024-07-01,5.09000
2024-08-01,4.91000
2024-09-01,4.84000
2024-10-01,4.75000
2024-11-01,4.68000
2024-12-01,4.64000
2025-01-01,4.55000
2025-02-01,4.44000
2025-03-01,4.39000
2025-04-01,4.26000
2025-05-01,4.19000
2025-06-01,4.15000
2025-07-01,4.05000
2025-08-01,3.98000
2025-09-01,3.97000
2025-10-01,3.93000
2025-11-01,3.84000
2025-12-01,3.75000
2026-01-01,3.71000
